,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,mg
1259,68014964661425280,53.81787349506571,23.7992508636062,7.413122956708233,21.498768859185475,-46.56055648625642,,3.2558327,17.41152,11.761526021997753
1260,67662330666441088,53.58075226560282,22.811605768551868,7.025049506861288,20.167601869554357,-43.24220692201572,,3.4226475,18.415842,12.649089001993392
1261,63340154753661440,55.557994099077575,20.361988207916674,8.000844805281424,22.34946751931565,-47.94975246429606,,3.0808058,16.831139,11.346817842612827
1262,63250162302240384,57.04765592226585,20.778305194694543,5.9892947493802735,18.270313651146843,-46.40108776933943,,3.129796,16.343927,10.230805815499044
1263,63144716561596288,55.62454334493009,20.149797806255965,7.291158318294129,19.86742565149457,-44.86363786872518,,0.44278812,8.347796,2.6617790825939487
1264,63146743786148992,55.74421123386509,20.21239922044665,6.280426939518633,18.511064199210235,-41.74848599982289,,3.264409,17.172781,11.162726829648529
1265,63102694601689728,56.765921231538925,20.195687183838487,7.690458991925354,21.401403653750137,-47.023220693774505,,1.9376326,13.80472,8.234481228427889
1266,67793309988387456,53.82823305695342,23.43899252745658,7.38673017410573,21.90049659508872,-44.93195800380503,,3.3311539,18.39483,12.737091879741056
1267,67988615037924096,53.64827213165803,23.64528830508817,7.479883121649929,21.34329979175454,-45.14868175473693,,3.3726711,17.938112,12.307586317739414
1268,63094894941091328,56.77370480441614,20.01017595063788,7.573574515135472,18.81211330728501,-47.05376670084226,,3.2799416,17.432594,11.82909881293192
1269,67899520235887616,53.157630946944735,23.432923437678717,7.216726916338947,20.86188349141383,-44.605518365376,,3.1979322,17.219522,11.51122383490701
1270,67732257029618048,54.59755024719606,23.107852478821798,7.490955395628946,21.981798411739888,-45.48060735879855,,2.1211395,14.3128605,8.685546544404247
1271,68006241583701888,53.44442056185314,23.80526961385393,8.013397708979126,23.76477274557526,-48.17959692344968,,2.7359762,15.945032,10.46411560740399
1272,67667935599570432,53.45758278804979,22.93867055371301,7.193036747161188,20.097673690161734,-44.45170278410971,,2.9764814,17.237923,11.522484063418885
1273,63410622280810368,55.21285120726096,20.68799435145389,7.086658335465295,19.38290198304688,-45.59744719689716,,3.3092136,18.122179,12.374386505890126
1274,67756789882795008,54.48519316524279,23.382238579921957,7.5265278585274045,21.674041358572893,-46.03988235911204,,2.797184,15.887417,10.270390206892358
1275,63378981257953152,56.18698648794307,20.74780123813992,7.288458764595384,21.36564590907617,-43.11324094625393,,0.5160551,8.620057,2.933235611258315
1276,67747615832673408,54.318961534668766,23.184371733636823,8.005021195691278,22.4527041267012,-48.69836715910122,,3.0016794,16.533524,11.05033599047812
1277,67736070960579072,54.40458841919602,23.18260940473149,7.139241281890911,19.77165943703212,-41.92242813983318,,2.9909868,16.794266,11.062526046429792
1278,67832346947351424,54.04620274427578,23.806264330922165,7.2930884636875,21.11912091461765,-44.60911293856929,,3.145955,17.269793,11.584349964258422
1279,67998201404864896,53.1763640515085,23.56656669616072,7.208007520700167,20.79155632631967,-44.53650079463327,,3.099968,16.67199,10.96106559644786
1280,67680854859714816,53.30800319775069,23.006239338837474,7.918384735151842,22.721006394799147,-48.51700192423092,5.195142918884594,1.1672573,11.691497,6.184679845293655
1281,68161921261591808,55.42678215488714,23.915703557533654,6.663172213587559,18.94110375742296,-46.22547492843791,,3.283804,18.628334,12.746739235452072
1282,68046133239891584,53.78927583540675,24.238705340015372,7.446703824764146,21.8959255020516,-46.35289182046245,,2.1557512,14.373762,8.733582536432934
1283,68334617603435648,55.10874750004816,24.536822065477452,7.061335175322899,20.024835698117016,-43.69947690339005,,2.8988667,16.958044,11.202478183764782
1284,68259438496008832,55.5455968203072,24.08553709751261,7.757803087607915,20.547582608732775,-44.86254438037681,,2.499961,14.794772,9.243465907766108
1285,68240536343889664,54.68214454090281,24.19004475984144,7.941906852307531,23.23966655873755,-47.13521824309038,,2.5596695,20.3739,14.87352340522959
1286,68051390279853824,53.0020805146138,23.77463852012284,7.214418650664179,21.33817607479,-43.69316952263468,,1.6692324,13.319509,7.610515256046149
1287,68356367317952128,55.16566911602839,24.73558932109877,7.699982119411571,21.622360469208804,-46.112033610201735,,3.1742926,17.27423,11.70667763304509
1288,68356367317952256,55.16690191869221,24.73568700211826,7.545609191879413,21.70695491470893,-46.935444460679065,,2.639453,15.634587,10.023058828534722
1289,68261053403709312,55.574650665302,24.115885490139195,7.19492946601324,21.358902745190107,-45.14004958047799,,3.1432905,17.054266,11.33939867984384
1290,68150861722174848,54.86596958122946,23.894801436053736,7.284990182913513,21.19717278934567,-45.3917012824864,5.001147465832787,1.0828514,11.309817,5.621962168453312
1291,68348155340347776,55.10088860613241,24.58431169861028,7.32907917160325,20.81642693484442,-44.10020330975813,,2.4535913,15.197468,9.522714869648505
1292,68254245878512384,54.80623032269012,24.466330873270657,7.028588424596789,19.697686914621222,-44.49218831014254,5.43872558908369,0.80593777,10.218912,4.453252689303547
1293,68265588889169664,55.51202747718308,24.209905242507293,7.338324469287138,20.37274449220386,-45.984488189129614,,2.5277958,15.295293,9.623277406743677
1294,68238543478364032,55.066426595660175,24.37524300204969,7.045748713649461,20.001643910524905,-45.48782159531187,,3.445406,18.22346,12.463094993903532
1295,68261946756899456,55.641606016427225,24.18338988680286,7.36191309182966,21.420080024198565,-44.24969985942346,,3.1399841,17.7214,12.056352738491803
1296,68322145018429952,56.05809553466943,24.77920150953242,7.321028086128957,20.585199028880133,-45.21626903473133,6.1164857602068565,0.8934126,10.597236,4.920096044468282
1297,68364643718417280,55.498666586670765,24.704944903918147,6.969846528904879,19.3025447853664,-41.08905418531334,,3.242075,18.484653,12.700769549628928
1298,68162028637205888,55.33071154501385,23.861474162488683,7.21298439353355,19.923277234423548,-43.37825479935084,,3.0992022,16.917055,11.20763009262609
1299,68265279651517056,55.60961448507422,24.235356564972648,7.396214630343394,19.868128483019397,-45.9370955611256,,2.8769827,16.289757,10.634804302090116
1300,68304548536306176,56.21849241212082,24.61360114039204,8.690678909323944,18.458025762374184,-46.66121920418861,,2.6337852,19.648684,14.343952070640558
1301,68183331674900864,55.10681123271332,24.09988621242558,7.899789421045849,22.279968132154107,-47.21440899393285,,3.0546484,16.897171,11.385248594367184
